23.144.204.0/25,US,US-VA,Warrenton,
23.144.204.128/25,NO,NO-03,Oslo,
2602:81b:5003::/48,US,US-VA,Warrenton,
2602:81b:5007::/48,NO,NO-03,Oslo,
2602:81b:500a::/48,NO,NO-03,Oslo,
2602:81b:5005::/48,US,US-NY,New York,10012
2604:26A0:0010::/44,US,US-VA,Warrenton,
2604:26A0:0020::/44,NO,NO-03,Oslo,
2604:26A0:5003::/48,US,US-VA,Warrenton,
2604:26A0:5007::/48,NO,NO-03,Oslo,
2604:26A0:500a::/48,NO,NO-03,Oslo,
2604:26A0:5005::/48,US,US-NY,New York,10012
